title,pageRank
Black hole,0.1035626404989177
Elephant seal,0.01867966211524836
Lizard,0.01162806528628386
Left- and right-hand traffic,0.01118461183936109
Rock paper scissors,0.01081623992208365
Nash equilibrium,0.01060332727641551
Cockfight,0.007757545905003782
Convention (norm),0.007744457256861184
Game theory,0.006857337174654626
Ŝ,0.006710689311860953
Battle of the Sexes (tennis),0.006640179692516262
Eric Maskin,0.005850804248406405
Roger Myerson,0.005390000934675792
Hawk,0.005342320804412256
Oliver Cromwell,0.005292497571332437
Evolutionarily stable strategy,0.005287681288647835
Evolutionary game theory,0.00504187757514677
Gene,0.004954182177959411
Ben Polak,0.004885802690831736
Evolution,0.004541509543631535
Columbidae,0.004431311765927202
Southern elephant seal,0.00435718990922004
Monogamy,0.003712773959985141
Polymorphism (biology),0.003633409497571222
Fitness (biology),0.003558448114362426
The Dating Game,0.003499781767780517
Pinniped,0.003426111353512932
Coordination game,0.003344604256379857
Sociology,0.00320567272009101
Nate Polak,0.003198249827054329
Social science,0.003191744193778955
Anthropology,0.003157860279766396
Species,0.003151708564837859
Political science,0.003141808667183855
Equilibrium (band),0.003017661590028726
Normal-form game,0.002982342770378739
Biology,0.002958602726530954
Probability,0.002772687753786174
Mutation,0.002764720198490309
Linebacker,0.002674324308500078
Algebra,0.002664233847297889
Nature,0.002661064207428255
Cold calling,0.00261469673545448
Harem,0.002601698859492904
Rock music,0.002599351101834312
Heuristic,0.002570158195579679
Scissors,0.002529896258116451
Leonid Hurwicz,0.002522315892487869
Science,0.002516056062623209
Economics,0.002456907551191062
Northern elephant seal,0.002455079471871514
Human,0.002434427308075866
Mathematics,0.002398347017689208
Lion,0.00238575829277578
Strategy (game theory),0.002375345456307831
Ethology,0.002371559544596878
Nature (journal),0.002348675659202855
Symmetric game,0.002337772477023129
Reverse engineering,0.002319394950730268
Fish,0.002309944951308343
Aggression,0.002279699484178792
Sociocultural evolution,0.002249519425493832
Pacifism,0.002241680865548008
Heuristic argument,0.002238478957054989
Causality,0.002237632023089625
Genetics,0.002227219029715276
Ant,0.002223482603824303
Chicken,0.00221679540726709
England,0.002175242237388865
Nobel Prize,0.00215686870473601
Hunting,0.002146145148889309
Japan,0.002144123090115701
Gender,0.002134423521393626
Antelope,0.002119375871399575
Agriculture,0.002114498743226373
Mating,0.002108021672881829
Arctic,0.002107546349576999
Experiment,0.002096710135946759
Cattle,0.002091052329703647
Memory,0.002079449344628241
Symmetry,0.002064335769767513
Set theory,0.002005698124865366
Society,0.002005296685023894
Canada,0.002000194033229579
Apocrypha,0.001997657632792822
U of P,0.001996313047678484
Empiricism,0.00199403008644734
Death,0.001988937786627745
Polygamy,0.001974049750189953
Extinction,0.001960340812164068
Australia,0.001960256317323791
Reason,0.001956308564628481
Spider,0.001955187810121806
Scientific method,0.001951176323887188
Bribery,0.00194101038997171
Life,0.001940070291695597
Philosophy,0.001938353535258421
Behavior,0.001935570961353976
Matter,0.001926616135734493
Biologist,0.001925482530788202
Knowledge,0.001919645954827958
Law,0.001919073957987948
Literature,0.001904712446055471
Temperature,0.001904412815725273
Deer,0.001902602709056478
France,0.0018984832568067
United Kingdom,0.001898001808685801
Internet,0.001893239131286925
Livestock,0.00188652296323799
Rationality,0.001863814921364016
Taxonomy (biology),0.001851622978422699
Education,0.001846449327881443
Chicken (game),0.001831653514834768
Computer programming,0.001829066936158842
Squirrel,0.001815076876518574
Free will,0.001806554466743531
Political philosophy,0.001796009755265493
American English,0.00178559077668425
Elephant,0.001760638774023857
Chemistry,0.001756283523948838
United States,0.001746159611424385
Social class,0.001734148431857115
Design,0.00172908619786647
Information,0.001727109412804083
Earth,0.001686220692904495
Theory,0.001647568908503655
Climate change,0.001601036572101864
Paper,0.001555264498261676
World Wide Web,0.001530007435193757
Matrix (mathematics),0.001527114902314756
Folklore,0.001490148862770812
Sound,0.001479105170482787
Strategy,0.001441222605987161
Art,0.00143272050473546
