title,pageRank
Economy,0.009204754335565508
Methane,0.006687703158211524
Deciduous,0.005424941807112277
Community (ecology),0.004985507141600349
Ecosystem,0.004847182703349707
Stephen C. Stearns,0.004679081332951637
Primary production,0.004584237980402426
Methane clathrate,0.00437872247308037
Nitrogen,0.004182896439085346
Hadley cell,0.003928672870747869
Ecology,0.003899580926213952
Ecosystem ecology,0.003746229376596865
Biome,0.003712446683549851
Carbon cycle,0.003594228815795744
Photon,0.003291143231548705
Carbon,0.003290746202978761
Tropical rainforest,0.003282748952587206
Limestone,0.003280752606982776
Cyanobacteria,0.003280173511240957
Andes,0.00311453950806392
Algae,0.003107946860107905
Biomass,0.003081566822245423
Transpiration,0.003065353516192474
Upwelling,0.00301430526564067
Silurian,0.002983334341096265
Scandinavia,0.00286120136288822
Geology,0.002850846962809439
Continental shelf,0.002773664769125182
Photosynthesis,0.002764202744657409
Water cycle,0.002749348583617327
Oxygen,0.002723943535841783
Conifer,0.002718986016601582
Biogeochemistry,0.002664807291906054
Forest,0.002650364380617108
Equator,0.00264589487093717
Eutrophication,0.002637081076360006
Phosphate,0.002598208704491523
Climate change,0.002580145500930167
Freeman Dyson,0.002556512445315101
Mauna Loa,0.002556101677435338
Coriolis force,0.00250015303811256
Seabird,0.002498911006914968
Mediterranean Sea,0.002481711743809832
Herbivore,0.002460508320743724
Detritivore,0.002456955852244089
Biosphere,0.002449050592153702
Biogeochemical cycle,0.002378055116888655
Ocean,0.002302048722148075
Carboniferous,0.002288213551990095
Haber process,0.002278550721782879
Fossil fuel,0.002243498236914347
Ammonia,0.002226306314568169
Desert,0.002213395132364107
Evaporation,0.002187316193984982
Amazon rainforest,0.002170930275570668
Mid-ocean ridge,0.002168303437013729
Biodiversity,0.002114539704914761
Carnivore,0.002105492314062115
Bacteria,0.002077069942028258
Thermodynamics,0.00206790878646165
Sea level rise,0.002054910491747796
Acid rain,0.00204373446373297
Evapotranspiration,0.002043033225480229
World War I,0.002035539242239322
Copepod,0.001992580752655924
South America,0.001989708609146227
Bicarbonate,0.001980915853284703
Canada,0.001972689670950797
Pacific Ocean,0.001965114028055616
Goat,0.001957232691605479
Guano,0.0019568588828287
Species,0.001947121982876523
Oklahoma City bombing,0.001931185885643787
Organism,0.001925751782846146
Energy,0.001917714165028197
Latin,0.001898195204780385
Granite,0.001897051170167112
Nitrogen fixation,0.001893899427912424
Biology,0.001882122704621891
North Africa,0.001879069704240909
Tundra,0.001877963640333704
European Union,0.001877205306017053
Timothy McVeigh,0.001876424560082057
Evolution,0.001872235363778075
Ice sheet,0.00185499644530162
Ordovician,0.001847304866703729
Greenland,0.00184017958420396
Carbon dioxide,0.001833759207751606
United States,0.00182974986382909
Krill,0.001815276366612369
Basalt,0.001811238108259735
Sediment,0.00180421617192188
Lake-effect snow,0.001797240668004811
Urea,0.001796049292809602
Ice shelf,0.001787503073140922
Peru,0.001775965217059827
Entropy,0.001773063734475039
Pangaea,0.001758516284998441
Greenhouse gas,0.001755846381284134
Externality,0.001751489257063056
Jet stream,0.001751410321404602
Grassland,0.00175014125360964
Southern Hemisphere,0.001745881511024767
Black Sea,0.001733599586845422
Estuary,0.00173022382912229
PH,0.001715617047310311
Fresh water,0.001715076255478322
Water,0.001707726972779177
Planet,0.001702502152637632
Hawaii (island),0.001694098423120595
Humboldt Current,0.001685681114686629
Fungus,0.001681714475686406
Fertilizer,0.001670586384651049
Life,0.001666311756293829
Physics,0.001664611871150098
Chemosynthesis,0.001656976466703245
Temperature,0.001656517098433819
El Niño,0.001647635194871689
Amazon (company),0.00164704663248071
Columbia River,0.001645750892993573
Antarctic ice sheet,0.001640077250933154
Chemistry,0.001626726283489224
Algal bloom,0.001623756552633802
Meteorology,0.00158466016382537
Amazon basin,0.001583811449961546
Permian,0.001572532113691833
Arizona,0.001572165886879143
California,0.001570939824048635
Positive feedback,0.001568342801228406
