title,pageRank
Greg Hunter,0.009295359032991647
Diane Sawyer,0.006632477259910561
Air pollution,0.005943257981007904
School bus,0.005709759807489485
Polyvinyl chloride,0.005248044288010714
Asthma,0.005164282193226941
Carcinogen,0.0051491575145962
Bus,0.004918714214501078
Turkey,0.004741027373237229
Furan,0.004542389924950527
Wargo,0.004504117851581246
Sulfur,0.004376083633527741
Yale University,0.004208076993016523
Alaska,0.004159974742725437
America (band),0.004073732055243868
Italy,0.004046542892644377
Lord's Prayer,0.003986206136212218
European Union,0.003979771570575328
Plastic,0.003885079502038895
Plasticizer,0.003650775415744599
Hudson River,0.003628946422221349
Tobacco,0.003492526464886741
Air freshener,0.003441364916089501
CNN,0.003360835235723615
Opposition to United States involvement in the Vietnam War,0.003358511171445549
Fossil fuel,0.003311135497073207
Particulates,0.003308247782916471
Black carbon,0.003279509757681755
Public health,0.003243278235347072
Aromatherapy,0.003213669424144298
Bioaccumulation,0.003160974102071743
The Pentagon,0.003057866993110283
American Federation of Labor,0.002942003028717788
Clean Air Act (United States),0.002936158695870172
Diesel fuel,0.002883719642474252
New York City,0.002870636892235064
Ozone,0.002862638256275612
Volatile organic compound,0.002848730878643741
Open-pit mining,0.002831355515972275
Wood,0.002817752496134685
Connecticut,0.002802609142201789
Smoke,0.002774359905203927
Boiler,0.002753204836259589
United States Environmental Protection Agency,0.002732952818130561
Detergent,0.002662845732705265
Central Park,0.002562074786555601
Exhaust gas,0.002548710655096549
AFL–CIO,0.002502078469505621
University of Connecticut,0.002492835055613783
Benzene,0.002458794704562367
John Wargo,0.002430415977722842
Temperature,0.00240501022441919
New York (state),0.0023958646935097
Idaho,0.002322615249302187
Nevada,0.002276354497757877
Nevada Test Site,0.002272937452663284
Mammal,0.002250962059431173
Filtration,0.002243019568101847
Pollution,0.002240784906765285
Mark Cullen (English footballer),0.002213850994161809
Microgram,0.002170922866693209
Carbon,0.002137735403751998
Ambient music,0.002132627313596511
Coal dust,0.002095640218826327
Latitude,0.00208396157865324
Heat,0.002067513286635605
Federal government of the United States,0.002062096923188329
United States Atomic Energy Commission,0.002058485031978495
Aroma compound,0.002014348643407471
Laundry detergent,0.001994375643462517
