title,pageRank
Baptismal font,0.01299720159559612
Tertullian,0.009585699062256878
Free will,0.009562181046633042
Joachim of Fiore,0.00850863130797317
Theological virtues,0.008347585426014664
Fall of man,0.007854338847748244
De vulgari eloquentia,0.007847567507538554
Dante Alighieri,0.006944684736298804
Quiddity,0.005475683741969065
Gospel of Peter,0.005365572534509585
Trespass,0.005171909870594555
Tower of Babel,0.004908797616814688
Sacred language,0.0046704091693822
Purgatory,0.004656113926505367
Baptism,0.004609883154002146
Church Fathers,0.004433810180586521
Hebrew language,0.004284779049091201
Ulysses (novel),0.004090322108776826
Asceticism,0.003943577288442254
Caesura,0.003926479612721169
God,0.003914004560745348
Theology,0.003888710859873734
Eschatology,0.003839235152787634
Wolf,0.003738811082389906
Acts of the Apostles,0.003703451837659139
Bachelor of Arts,0.003637759580346247
House of Welf,0.003605211615833774
Egypt,0.003538586984231644
Four causes,0.003473235042966963
Tetragrammaton,0.003454422644005651
Philosophy,0.003449039722659563
Auctoritas,0.003384452350278322
Jerusalem,0.003379993548257987
Quran,0.003361179147895492
Divine Comedy,0.00333405958067988
Giuseppe Mazzotta,0.00330964952140507
Latinism,0.003226519074599071
Thesis,0.003145654549128928
Beatific vision,0.003004832386346678
Latin,0.002961346229924359
Rome,0.002920445079375027
Florence,0.002904135362894078
Hagiography,0.002882201386984971
Curiosity,0.002862569435564346
Psalms,0.002857772751134866
David,0.002856886076882166
Giants (Greek mythology),0.002848987947724314
Passover,0.002836848965112107
Harrowing of Hell,0.002831239458642055
Bible,0.002717410596129075
Cardinal virtues,0.002608319232994394
Medusa,0.002602079721037822
Science,0.002577963684743275
Greeks,0.002574122528907094
Jesus,0.002571099285426949
Self-knowledge (psychology),0.002544347792574799
Greek language,0.002501655496329294
Rationality,0.002468051263102929
Renaissance,0.002395336712269138
Canto,0.002369407232177788
Faith,0.002355793806660756
Holy Spirit,0.002334479917782951
Virtue,0.002308957206999801
Middle Ages,0.002303815251190735
Metaphor,0.002256674024379859
Virgil,0.002244993939618237
