title,pageRank
Simony,0.01489117800448353
Donation of Constantine,0.01297478348561918
Dante Alighieri,0.00910938635486556
Beatific vision,0.008186680133065146
Ovid,0.007520437855514263
Anatolia,0.005412804976808615
Acts of the Apostles,0.005305867487515294
Guelphs and Ghibellines,0.005149938155241479
Eteocles,0.005128227958745978
Geryon,0.004971004664360971
Usury,0.00461455385350725
Pentecost,0.004604940415923995
Florence,0.004475844593045238
Prophet,0.004300143944758021
Apostrophe,0.004237437927316449
Metamorphosis,0.004066826322808362
Eponym,0.004038919326440227
Aeneas,0.003930406136452156
Rhetoric,0.003892462540710128
Anthropocentrism,0.003767148286320551
Neoplatonism,0.003697045593815398
Ceuta,0.003430266396154091
Saint Peter,0.003408034802021606
Iliad,0.003374960780432712
Nicholas of Cusa,0.003336524404744809
Aeneid,0.003323076765225073
Pope Boniface VIII,0.003268007276972872
Yes and no,0.003260429948421943
Charlemagne,0.00325038390898213
"Thebes, Greece",0.003129573864368794
Allegory,0.00309739288757691
Giuseppe Mazzotta,0.003083007007534994
Pilgrim,0.003060461766687142
Epicurus,0.003041880670037377
Niccolò Machiavelli,0.002985092474749491
Lorenzo Valla,0.002979500692176131
Orsini family,0.002974759429714687
Simon Magus,0.002914495359959436
Morocco,0.002863069897098784
Seville,0.002837232891849343
Gaeta,0.002833707844344899
Metonymy,0.002796437302130859
Blasphemy,0.002767473798112
Bible,0.002702062961519219
Diomedes,0.002616831569104257
Sicily,0.002615324934373085
Middle Ages,0.002595564956769794
Jocasta,0.00256856595359001
Latin,0.002523552459825662
Katabasis,0.002515212844080408
Odyssey,0.002481884714134227
Lucan,0.002465053001399113
Epicureanism,0.002445105265855281
Snake,0.002415316795367667
Exorcism,0.002372999356215506
Jerusalem,0.002366250644545685
Baptism,0.002346738249943927
Sardinia,0.002342953413961565
Matter,0.002324061415325387
Italy,0.002268459522134254
Realism (arts),0.002230679819265048
Novel,0.002195217988415009
Experience,0.002185781690638825
Homer,0.00214583797903874
Polynices,0.002108063277203608
Israel,0.002106153459225126
Anchises,0.002061747605748899
Witchcraft,0.002057081327678656
Eternal return,0.00204847628265969
Virgil,0.002036723127874886
Baptistery,0.002032654929505714
Withy,0.002002628987940752
Statius,0.001999161891964438
Oedipus,0.001988550802709693
Canto,0.001961823599394247
Guido I da Montefeltro,0.001954531231751178
Prophecy,0.001924925353620366
Divination,0.001915381879849198
Philology,0.001915289896973421
Humanism,0.001912874037769389
Greek language,0.001908822850448163
Ancient Greece,0.001894966364305201
Elijah,0.001875323389959353
Aphorism,0.001858929931618082
Pope,0.001855378957488105
Trojan War,0.001834898431496813
Adultery,0.001832436788725277
France,0.001831207577579135
Metaphor,0.001829684814613105
Spain,0.00181380525180056
English language,0.001798336053879451
Hyperbole,0.001791528234880533
God,0.001783427146070778
Periphrasis,0.001771521561919897
Classical antiquity,0.001765454619035607
Hubris,0.001756671819596108
Forbidden fruit,0.001755437492546557
Christianity,0.001751444151725414
Jesus,0.001750389315119241
Nostos,0.001741730114321953
Original sin,0.001737314664901937
Western culture,0.001735469191146542
Western world,0.001703713243875125
English literature,0.001701446205626377
Horse,0.001697502607588183
Hades,0.001686718233890144
Divine Comedy,0.001670906426449095
Roman mythology,0.001637488094266897
French language,0.001634421602796404
Soul,0.001621962255544481
Theology,0.00161957113594633
Antistrophe,0.001606921792933178
Demon,0.001604979805285416
Satire,0.001604688987098796
Utopia,0.001597715658924842
Chariot,0.001590322801450634
"Ithaca, New York",0.001585345433056457
Papal conclave,0.001582630164369483
Achilles,0.001581556019522311
Oracle,0.001562296610408064
Philosophy,0.001555720273916079
Epic poetry,0.001554014992268071
Spirituality,0.001550135265261733
Suicide,0.001544586223602384
Literature,0.001543784258079952
Universe,0.001541178464315366
Ulysses (novel),0.001538471745123643
Sin,0.001535146919846581
Eastern Orthodox Church,0.001529314959950639
Friar,0.00152399460192692
Poet,0.001519633439233681
Forgery,0.001510241045015553
Miracle,0.001508022946934856
Ethics,0.001507581957899123
Crucifixion,0.00149869437442294
