title,pageRank
Indonesia,0.01684516105249909
Thailand,0.01657455377645671
Sri Lanka,0.01596613743289281
Bangladesh,0.01336934028514858
Robert Wyman,0.01288312484028248
China,0.01033471440857869
India,0.00996723392370101
One-child policy,0.009907990157197993
Sub-replacement fertility,0.009453478742344285
Ultrasound,0.008173641932646166
Demographic transition,0.007901216764829876
Birth control,0.006902864292588249
Himalayas,0.006685067476414739
Bride price,0.006582229650051
Checking (ice hockey),0.005695364348429576
Barbara Walters,0.005441500809267964
Kerala,0.005006330904756134
Sati (practice),0.004469707701837326
Ganges,0.004423275956056284
Infanticide,0.00424552663068227
Guangdong,0.004009256274790804
Seoul,0.003883825377262832
Long jump,0.003860511753264466
Diarrhea,0.003751385589772879
World Bank,0.003736294559120842
England,0.003648658561303129
Transistor radio,0.003637647361973101
Ice hockey,0.003445973112229149
Kuwait,0.003307069734462677
Gulf War,0.003285843718952426
Family (biology),0.00327352265735004
South Korea,0.003202010236884982
Family planning,0.00319258408999301
Taiwan,0.003135194959642553
Dowry,0.003090379261991933
Bengal famine of 1943,0.003067355436734796
Tibet,0.002872998850522087
Fertility,0.002835959508553905
Egypt,0.002812366727806065
Sex-selective abortion,0.002788913357171697
Indian subcontinent,0.002719120491442269
Ginkgo biloba,0.002704627927340321
World War II,0.0026878628423659
South Asia,0.002634555402509552
Chimpanzee,0.002613823033883259
Sex ratio,0.002584447300016848
Muslims,0.002542975375073091
Japan,0.002518175130943209
Madhya Pradesh,0.002509370715490091
Exogamy,0.002505480454105445
Netherlands,0.00249287639988992
Mitochondrial DNA,0.002470532906930539
Per capita income,0.002433585119923554
Bihar,0.002401315864702768
Gene,0.002394090187934306
Buddhism,0.002358095538542137
Abortion,0.002350910199349864
Condom,0.002315449974287293
Fetus,0.002286365779142575
Kolkata,0.002284592254370586
Bay of Bengal,0.002266637549884389
DNA,0.002255155649511108
Asia,0.002221408126635816
Amniocentesis,0.002203343878306653
Census,0.002197135361570676
West Bengal,0.002187246321396269
Population density,0.002174332032887074
Matriarchy,0.002171656814555225
Mississippi River,0.002143229023641615
Zygosity,0.00212355898811512
Great Mississippi Flood of 1927,0.002092008265276557
Malthusianism,0.002086899374107709
Astrology,0.002073930860118209
Western world,0.002071229347509573
Islam,0.001997056667930979
Feces,0.001968850226325866
Haryana,0.001961767761612331
Nepal,0.001961034810605839
Afghanistan,0.001954510309099672
Pyre,0.001937393693083137
Purdah,0.001932877867741774
Pakistan,0.001923747159674396
Mahatma Gandhi,0.001909024948551001
Professor,0.001900686262440577
Culture,0.001865576578677131
Y chromosome,0.001864546551334276
God,0.001861609599773503
Ancient Greece,0.001850700622567521
Quran,0.001846460652547229
Evolution,0.001841382181081051
South India,0.001839398563936414
Europe,0.001828585327356001
Delhi,0.001811211458072558
Economics,0.001810397120582138
