title,pageRank
Ben Affleck,0.01922991512175272
Gene,0.01304506970197971
Toxoplasmosis,0.01048769547717211
Smile,0.01025886406216934
Spock,0.009145195728697125
Paul Ekman,0.008761950050934065
Stephen Jay Gould,0.00784403047997316
Leonardo DiCaprio,0.007575479987731588
John Gottman,0.00719908015235637
Operant conditioning,0.007146978841440537
Phineas Gage,0.007082953982895881
B. F. Skinner,0.006746941142796568
Frontal lobe,0.006551071396870253
Mickey Mouse (TV series),0.005795535043713976
Snake,0.005754623640066978
Emotional contagion,0.00508900824977235
Menstrual cycle,0.004951349061406675
John Boehner,0.004566021783379699
Gene-centered view of evolution,0.004510774919953476
Steven Pinker,0.004438371173385113
Rodent,0.00433677636767743
Classical conditioning,0.004250275374898724
Spider,0.004248884961119049
Evolutionary biology,0.004167161460154858
Malcolm Gladwell,0.004061505796489442
Altruism,0.004047692965932936
Child development,0.004018013567482607
Richard Dawkins,0.004005566961546138
Marriage,0.003919500619172313
Evolutionary psychology,0.003887181814686628
Behaviorism,0.0038847386218929
The Walt Disney Company,0.003840495685973983
Phobia,0.003808294090984776
Psychology,0.003797318109217797
Lee Harvey Oswald,0.00375565324270827
Roy Blunt,0.003703797368395884
Jack Ruby,0.003619917496750385
William James,0.00358242222357942
Walt Disney,0.003533902479721478
Virus,0.003521865585660534
Mammal,0.003488392398752681
Star Trek,0.003476872816474881
Natural selection,0.003462611274229457
Chicago,0.003373605998180291
Syphilis,0.003282065112794667
Google,0.003164572768185131
Dual representation (psychology),0.003120241519813799
Jay Gould,0.00311362655325045
Asia,0.003074083692549148
Emotion,0.003019618983412813
Paul Bloom (psychologist),0.00291870884079249
Google Images,0.00289615873110246
Rabies,0.002873484012200048
University of Virginia,0.002864864511434684
Food,0.002800921942933154
Pornography,0.002764547434971406
Common cold,0.002753669605841642
Logical truth,0.002737427072662904
Republican Party (United States),0.002712815276730355
Experiment,0.00268976084789619
Facial expression,0.002684572760874024
Chocolate,0.002669226638846307
Bias,0.002663617339341947
Japan,0.002651567529624087
Climate change,0.002638314360205435
Testosterone,0.002634608352841396
Southern United States,0.002624155618454296
Parody,0.002597365622374031
