title,pageRank
Video clip,0.02789966743987054
Try (rugby),0.02111268115211187
Noun,0.01380105587605195
Pardon,0.01370049506814634
Bracket,0.01134250303062743
Saint Petersburg,0.01127588731482775
.07%,0.0106197030888435
Gross national income,0.01002574073047326
Question mark,0.009599185153650904
Force,0.00924338900311465
OK,0.008857517879548485
Protein,0.008357335905860097
Food security,0.008237565383419096
World War II,0.007529767066419901
Nutrient,0.006562449096349939
University of Minnesota,0.006325452689644765
Cannibalism,0.005680337531849492
India,0.005566486563227576
Ancel Keys,0.005320782370389592
Green Revolution,0.004816968387995931
Race and ethnicity in the United States census,0.004787636650462612
Marasmus,0.004718894457735622
Diarrhea,0.004515844704372063
World Health Organization,0.004353423463621752
The New York Times,0.004067930941443733
Jeffrey Sachs,0.004016550137296148
K-ration,0.004008357825162164
Kelly D. Brownell,0.00400586253564061
Starvation,0.003953366598946215
Minnesota Starvation Experiment,0.003950164940551773
Temperate climate,0.003949643734510706
Calorie,0.003888886993459149
Carbohydrate,0.003775229534006128
Siege of Leningrad,0.003737513159430656
Millennium Villages Project,0.003705264613298767
Millennium Development Goals,0.003650797495054859
Red Army,0.003591392451526263
The New York Times Magazine,0.003446561970639765
Measles,0.00342028574095638
The Earth Institute,0.003363212696921412
Time (magazine),0.003355684131481334
World Bank,0.00333181141952976
Kwashiorkor,0.003286743378019837
Maize,0.003243770194989423
Refugee,0.00321197646075149
Iraq War,0.003174831755789599
United Nations,0.00313033650202748
Extreme poverty,0.003129994732847055
Agnosticism,0.003037651323965996
Pulitzer Prize,0.002984935861124476
Tropics,0.002928081221396832
Food prices,0.002863903542669987
Potato,0.002792715020204049
Adolf Hitler,0.00276610600630041
United States Department of Agriculture,0.002759126950440161
Metabolism,0.002758904385558173
Netherlands,0.002752378226200141
Afghanistan,0.002742635228570453
Malaria,0.002739862013159171
Columbia University,0.002703304705942449
Kenya,0.002692705457559091
Malawi,0.002691126760333429
Seven Countries Study,0.002687817815731097
World Food Programme,0.002623466192093579
Hunger,0.002619433049992254
NPR,0.002581848376142877
Overnutrition,0.002486832278845699
Sub-Saharan Africa,0.002461716432943193
State of emergency,0.002446412719419997
Wallpaper paste,0.002421831760020898
Developed country,0.002372417566527496
Immune system,0.002320014332900079
Hypothermia,0.002315477395044587
Norway,0.002266991082205444
Obesity,0.002263395062529618
International Monetary Fund,0.002260481113812218
Zoo,0.002246572608898874
Sweden,0.002241960232242036
"Brownell, Kansas",0.002211495452733854
Denmark,0.002201355427075328
China,0.002166857188215701
Wealth,0.002152514476848587
Sustainability,0.002106601912627808
Luxembourg,0.002085227719223588
Professor,0.002052118727841752
Evolution,0.002050872317815648
Ground meat,0.002023442166505339
Geneva,0.001986190171309714
