title,pageRank
Moth,0.01063638201967461
Bulldog bat,0.006397624525084533
Fossil,0.006311661403731425
Evolutionary biology,0.00605420783991453
Alfred Russel Wallace,0.006033517729556849
Eukaryote,0.005697195972878624
Reproductive success,0.005528447554688547
Microevolution,0.005501856519295995
Supernova,0.005092547524494598
Bat falcon,0.004909163864586666
Mitochondrion,0.004711723163152913
Genetics,0.00463025116747989
Kingfisher,0.004433088711349927
Charles Darwin,0.004421773149250023
Physics,0.004243004098719935
Chemistry,0.003856471346085788
"Darwin, Northern Territory",0.003819969015322596
Aristotle,0.003580846071691997
Genetic drift,0.003377715118584162
Archaea,0.003352604012325797
Permian,0.003350810585319171
Biochemistry,0.00333530767406308
Rock and roll,0.00328455610634268
Bat,0.003280530727352495
Macroevolution,0.003250478351774958
Jellyfish,0.003239277668359506
Cell biology,0.003115263408858623
Paris Basin,0.003104735215205929
Microbiology,0.003055496647994262
Fish,0.00300815135794417
Sexual selection,0.002972551692554557
Astronomy,0.002947032057552676
Evolution,0.00286136055254897
Mite,0.002766420760751522
Armadillo,0.002738373192395936
Meiosis,0.00272324364539631
Amazon River,0.002695785253475157
Malaria,0.002691412920937627
One-child policy,0.002627830305803754
Cephalization,0.0026249436782122
Metallica,0.002618850408909267
Heritability,0.002586143250111511
Mockingbird,0.00256104917932804
British Museum,0.0025515776768613
Natural selection,0.002550543259174037
Boeing 747,0.002540405757728615
Permian–Triassic extinction event,0.002529441007943602
Venezuela,0.00251818463743498
Dinosaur,0.002489111570490078
Chloroplast,0.002465250933050752
Charles Lyell,0.002464303349164333
Retina,0.002451032605984451
Argentina,0.00241794785072661
Species,0.002414410259284406
Geology,0.002412894077735693
On the Origin of Species,0.002349343692353045
Ocean,0.002347786946237447
Chimpanzee,0.002336728446052162
Stephen C. Stearns,0.002284308996108587
Gene,0.002240687211785023
Falcon,0.00220830274433102
Molecule,0.002190402417704288
Arthur Conan Doyle,0.002189853288560179
Liver,0.002183658552445638
Continental drift,0.002167596262988465
Meteorite,0.002164710545051856
