title,pageRank
Margin (finance),0.01881105984383532
UNICEF,0.01532216270436069
General Electric,0.01337336321216187
The Gospel of Wealth,0.01260418225080422
Forbes 400,0.01160392439949988
Forbes,0.0115144752327447
David F. Swensen,0.01034140892609978
Tony Soprano,0.009982916946061248
Normal distribution,0.00940715118596557
Perfect competition,0.009384538235359972
Marginal utility,0.00869588234238608
University of Arizona,0.008104364701719333
Joe Jackson (musician),0.007792364732467682
Probability theory,0.007756626836560274
Development economics,0.00771179617278283
Robert J. Shiller,0.007505390858821026
American International Group,0.00749899651437435
Haiti,0.007199293461287185
Rick Levin,0.006952278753076762
Polak,0.0067831656128191
World War II,0.006643151235470464
New York Yankees,0.006155511583217189
Stocks for the Long Run,0.006130785077881056
Insomnia,0.006095810394899179
Association football,0.006020900183446197
Ben Polak,0.005969955582625149
Benno C. Schmidt Sr.,0.00587375386088354
Futures exchange,0.005854785690623081
Brownian motion,0.005756189407839028
Organic chemistry,0.005682549163996084
Carnegie Mellon University,0.00547342602384423
Baby boom,0.005300858620726543
Andrew Carnegie,0.005292584687137012
World Series,0.005246799685814338
Soviet Union,0.005219966906084324
Yale University,0.004879588405205647
Concave function,0.004872971796696824
Demography,0.004793248804405847
Git,0.004730918435708071
Hong Kong,0.004709075034623354
Great Depression,0.004704988458193738
John Geanakoplos,0.004698119971123623
England,0.004680083814089037
Laura Cha,0.004660809215982439
Normal-form game,0.004650939758062417
Angel,0.004643946303047829
Independent bookstore,0.004571626848120224
Random walk,0.004570333793761074
Startup company,0.004565623536021257
Legal release,0.004490550404686626
Futures contract,0.004473730692398279
Compound interest,0.00446023999499057
Yale School of Management,0.004448854695227228
Behavioral economics,0.004448533340121674
Fractal,0.004391228891077304
Post-punk,0.00436512362729578
HIV/AIDS,0.004313922737762031
Lake Carnegie (New Jersey),0.004204971390103599
Chicago Board Options Exchange,0.004162335995692609
Irrational exuberance,0.004143103709236953
New York Stock Exchange,0.004134701100233652
Lahore,0.003982736230204256
Franco Modigliani,0.003969954322043952
Fischer Black,0.003901747970375193
Timbuktu,0.003894623306140003
William Graham Sumner,0.00389264564016612
Law of large numbers,0.003882543778618147
Down payment,0.003857661434062614
Inflation,0.003843918103658428
Real interest rate,0.003822950915461321
Capital asset pricing model,0.003813205576296184
Market power,0.003794011893804969
Problem set,0.00378755978066069
Hubei,0.003751751882348974
Lahore University of Management Sciences,0.00373436516046005
Ben Bernanke,0.003720309328586792
Carnegie Steel Company,0.00371600753382978
Finance,0.003703165868807347
Japan,0.003659198569860027
Nanjing,0.003645251043405702
Risk aversion,0.003581166144745091
Central bank,0.003571533202848729
