title,pageRank
The Rime of the Ancient Mariner,0.01739499127489941
Literary theory,0.01433329358821678
Syllabus,0.01395670487604297
Book of the Month,0.0136318901134815
Mary Chudleigh,0.01205417904204836
John Milton,0.01068515364623368
Lycidas,0.009801295192173673
Friedrich Nietzsche,0.00899235404927188
Saturday Review (U.S. magazine),0.008905634048657605
Paradise Lost,0.008904938495662472
Paul de Man,0.00846042497654734
Mary Astell,0.008112306792352548
Ralph Ellison,0.00792837621744927
René Descartes,0.007877061211753805
Richard Wright (author),0.007268935667553976
World,0.007235953878358689
Hermeneutics,0.007234498663436391
Satan,0.007196004051092157
Paul Fry (speedway rider),0.007005280390809876
Paul Fry (baseball),0.007004352231832037
Holy See,0.006721042902529888
Plato,0.006681873293694837
Hewlett Foundation,0.006679425940678854
Sigmund Freud,0.006398648313567031
The Cherry Orchard,0.006364452744312917
Literature,0.00618401208897369
The Waste Land,0.006126285316380005
.so,0.005835189001192885
Roman Republic,0.005670151385083865
Lawsuit,0.005504243599618525
Literary criticism,0.00546436053303197
Freudian slip,0.005441138867402733
Consciousness,0.005418163081488537
Age of Enlightenment,0.005296092072305597
W. B. Yeats,0.005271061496048958
Philosophy,0.00527029480811215
Wallace Stevens,0.00523984678717201
Hermeneutics of suspicion,0.005124696366784328
William Faulkner,0.004981733140858571
Random House,0.004962177214420611
Cognitive science,0.004919413742371826
Three-volume novel,0.004822894578503717
How We Are Hungry,0.004737097917094836
Theory of relativity,0.004600093092191646
Epistemology,0.004506796409303854
The Phenomenology of Spirit,0.004444967927890659
Gertrude Stein,0.004240316192684541
Paul Ricœur,0.004141829089879542
W. H. Auden,0.00411813439671517
Robert Frost,0.003925759392673933
Georg Wilhelm Friedrich Hegel,0.003882040161286975
Mississippi River,0.003832598066129608
Book of Genesis,0.003730035838034491
Neopragmatism,0.003711593947329624
Immanuel Kant,0.003680605789508328
Iambic pentameter,0.003589112876118375
Latin,0.00358623265194155
Ezra Pound,0.003521948442070159
Vietnam War,0.003502427657910026
John Updike,0.003491035168799327
T. S. Eliot,0.003476942576492904
Etymology,0.003456561282186463
I. A. Richards,0.003430776875647081
"Milton, Albemarle County, Virginia",0.003400826260474264
James Joyce,0.003398979825716327
Philip Roth,0.003391409568817962
Nelson Rockefeller,0.003307145484124125
Commodity fetishism,0.003293537730920155
Don DeLillo,0.003280497440905152
Empirical evidence,0.003263143559722383
The Human Stain,0.003239501729862506
Franny and Zooey,0.00322976028504773
Vladimir Nabokov,0.003228262553483243
John Barth,0.003220803062411572
Lyrics,0.003198714080774567
Hamlet,0.003164188676559221
Langston Hughes,0.00316206662181419
Artificial intelligence,0.003157405225792103
Alfred Stieglitz,0.003136859811604371
