title,pageRank
American Revolution,0.02389255147560109
Herodotus,0.01478758820418299
Battle of New Haven,0.0144366718403783
Benjamin Rush,0.01384860151084795
John Adams,0.01159251388139633
Maurice Chevalier,0.01084854994130339
Boston Massacre,0.009496192021652918
Oliver Cromwell,0.008493927528227122
Aaron Burr,0.007957511422944393
Yale Daily News,0.00783760619476814
Thucydides,0.007778869317960869
Drum-Taps,0.007536693219953335
Brian Reilly,0.007484373900478504
Flags of the Confederate States of America,0.006993245771382821
Thomas Paine,0.00642332303797733
Algerian War,0.00621257046864246
Maurice Papon,0.006173464897622529
Marc Bloch,0.005999311349436978
Andrey Ivanov (swimmer),0.005843591676752124
Dred Scott v. Sandford,0.005831671090132788
Lynne Cheney,0.00581879861458386
Islam,0.005720754826622797
Roman Empire,0.005643844861932693
1876 United States presidential election,0.005451415333628161
HIV/AIDS,0.005428500703671724
Battle of Gettysburg,0.005347117519338754
Byzantine Empire,0.005309604186669098
Promissory note,0.005169596686040723
Age of Enlightenment,0.005081980190453284
Early Middle Ages,0.004905815235315574
Burr–Hamilton duel,0.004868703811608315
Catholic Church,0.004866397590315802
David W. Blight,0.004840254678961315
Gertrude Stein,0.004801031261594469
Daniel Defoe,0.004753992057188608
"Worcester College, Oxford",0.004689308885581969
Diocletian,0.004660340812698568
Middle Ages,0.00463589659588509
The Killer Angels,0.004616247610656693
New Imperialism,0.004614183729902111
Boston Tea Party,0.004566141120898869
University of Michigan,0.004526994472447647
Louisa May Alcott,0.004507536189392015
Adolf Hitler,0.004502878451887965
Battle of the Somme,0.004501931956623003
Abraham Lincoln,0.00445604444014088
American Revolutionary War,0.004433995615615892
Thomas Jefferson,0.00440948615059954
Latin,0.004371518454925823
Chamonix,0.004362373757510632
John Lilburne,0.004296085512901438
Alexander Hamilton,0.004232128614329497
Whig history,0.004179384243363058
Bubonic plague,0.004167115813662993
Vietnam,0.004128763515243868
Mary Astell,0.00411594675428371
Society of Jesus,0.004113971410488721
Persian Letters,0.004080744021249159
Logic,0.004047961658322048
Massif Central,0.004020757499573643
Oscar Wilde,0.00401254272593487
Samuel Pepys,0.004010016705422182
Walt Whitman,0.003994982252856831
Teaching fellow,0.003924906154708694
Elizabeth I,0.003912800989238666
Strasbourg,0.003841140584831906
Crisis of the Third Century,0.003819407269473338
Malgré-nous,0.003744369658944839
Bermuda,0.003734577068362026
Gaullism,0.003696476706764749
Poland,0.003689239939536955
Connecticut Hall,0.003668919949476465
Edward Gibbon,0.003633087486191884
Federalist Party,0.003569147979852801
Gauls,0.003561765674332275
Émile Zola,0.003535143090301699
Hospital Sketches,0.003520844527866414
United Kingdom,0.003517400212854679
Russia,0.003512425679354085
Great Britain,0.003481359534546623
Catalonia,0.003459056895029945
Tulle,0.003458731222372555
Condoleezza Rice,0.00345198207183121
Drew Gilpin Faust,0.003448019469582458
Ottoman Empire,0.003408018611391964
Smallpox,0.003375059182025439
Dijon,0.003336203847120084
HBO,0.003324168893333685
Spanish Civil War,0.003304229197490631
Harvard University,0.003295969820222989
Emancipation Proclamation,0.003262797320906007
Greek Civil War,0.003236332074339292
Tuberculosis,0.003225464344942829
Crimean War,0.003199451604441598
Maize,0.003169611408283099
Communes of France,0.003162891206777515
George Washington,0.003154487709408208
Henry VIII,0.003133284092181775
Egypt,0.003128270329124788
United States,0.003124477593097737
Pennsylvania,0.003122423716403249
War novel,0.003116591082224482
United States Declaration of Independence,0.003115734362546988
Malaria,0.003114053029659715
Constitutional monarchy,0.003102388809390018
Auschwitz concentration camp,0.003101664436608203
Fort Sumter,0.003095078997405563
Threshing machine,0.003090881239317204
I Have a Dream (song),0.003072681058336709
President of Harvard University,0.003071384884712982
Saône,0.00306104179046243
Hamburg,0.003057543717344283
Pyrenees,0.003012686196410354
Catalan language,0.00299497490991746
British Empire,0.002955511308768765
Marcus Aurelius,0.002940461402145955
Siegfried Sassoon,0.002920991617781127
Lyon,0.002896461972336617
Cholera,0.002891590874312922
Native Americans in the United States,0.002886160395383278
Critical theory,0.002850738319811228
Switzerland,0.002838741127785013
1905 Russian Revolution,0.002837425950047115
Robert Penn Warren,0.002829126997565885
Market economy,0.002819989876519267
Visigoths,0.002816282452865681
Polio,0.002808270070979912
Osama bin Laden,0.002808182305401089
A. H. M. Jones,0.002806696558600983
Keith Wrightson,0.002802438898166723
Metro-Goldwyn-Mayer,0.002789471058181055
Public health,0.002784984610342942
Peloponnesian War,0.002779626218723197
Church of England,0.002774275924715729
Franklin D. Roosevelt,0.002751259009552163
Louis Malle,0.002746843798611665
University of Strasbourg,0.002727477836975812
African Americans,0.002725164437834621
Provençal dialect,0.002716529466670177
Robert Paxton,0.002716325873098161
William Dean Howells,0.002706298516797445
Boston,0.002705916272072431
Newsweek,0.002703709772763051
Branford College,0.002699894687770779
Infection,0.002697187502435676
Michel Foucault,0.00269455562821618
France,0.002685924406879103
Peggy Noonan,0.002680999870607395
Leni Riefenstahl,0.002664512555946433
Michael Jordan,0.002661168817953661
Yale University,0.002646812697507861
Social history,0.002623221851143515
Hautes-Alpes,0.002622643136626078
Dick Cheney,0.002618354598817837
Normandy,0.002603539630601104
Thirty Years' War,0.002601574282080794
Founding Fathers of the United States,0.002588865105635711
Captain Swing,0.002587637107353651
Defender (association football),0.002575136534796406
Soviet Union,0.002570603582953614
Commonwealth of England,0.002557350059251234
Manifest destiny,0.002538519187711136
Paris,0.002526933434041037
The New York Times Best Seller list,0.002520440343729746
John Maynard Keynes,0.002519496096373445
Christianity,0.00251912901861763
Treaty of Versailles,0.002518310233933913
Francisco Franco,0.002511259400412995
John Jay,0.002507295791401284
Paul Freedman,0.002499495959049167
H. L. Mencken,0.002492248199539159
Cate Blanchett,0.002478182134068204
Democracy,0.002472527247481462
Limoges,0.002449150028564444
Connecticut,0.002446806803846479
Gérard Depardieu,0.00244302615470505
James II of England,0.00243938706451039
Annales school,0.002438579636076466
Ménilmontant,0.002435386186244861
University of Montpellier,0.002413793126977773
Reims,0.002395033876183812
Judi Dench,0.002391312621395564
La Haine (drama),0.002387088827286898
Trench warfare,0.002377956649555204
Committee of Public Safety,0.002374708383756492
Battle of Antietam,0.002369948197443804
Czech Republic,0.002364102223452005
Wilfred Owen,0.002363681932007998
Late antiquity,0.002359388565473656
South Carolina,0.002355059145081798
Ancient Rome,0.002349397923292908
Rhetoric,0.002323767413508936
Eric Foner,0.002322362918488529
Kirk Douglas,0.002295626556064013
Émilie Carles,0.002286120607913215
Timgad,0.002286085243641784
Cardiovascular disease,0.002273981334387957
Yellow fever,0.002268694997717476
Austria-Hungary,0.002262276159121638
Amuse-bouche,0.002259824293740441
Syria,0.002251854343584715
Prague,0.002249686489565985
Western culture,0.002248996138397759
Balkans,0.002247249714014634
George Orwell,0.0022457033052415
Byzantium,0.002240493710373923
Confederate States of America,0.002229693273027167
Henri Barbusse,0.002229083026231588
Mexican–American War,0.002228547262877736
"Portland, Oregon",0.002222007424931065
West Nile virus,0.002220478206174264
Chris Browning,0.00221453275313281
Russian Revolution,0.002213342506233722
Anti-clericalism,0.0022101315658766
Constantine the Great,0.002205070985171392
Jazz,0.002191060474524306
American Civil War,0.002189399867225173
Pierson College,0.002186138092732284
Tasmania,0.002174945337180787
Welfare state,0.002171560064433427
Hippocrates,0.002166211230287764
Starbucks,0.002164944007073798
Fall of the Western Roman Empire,0.002164265304215773
Malapropism,0.002150993112715931
Minutemen (band),0.002144650547539473
Judaism,0.002123735540383676
Papon (singer),0.002114126739907372
The Federalist Papers,0.002112145740967347
Imperialism,0.002098962087074489
Daniel Auteuil,0.002093913176775929
Vietnam War,0.002091717955412252
John Hampden,0.002088895710321706
Clermont-Ferrand,0.002086673688098735
Syphilis,0.002086441607940525
Montesquieu,0.002080667417498026
Italian language,0.002050559984288042
British subject,0.00205037122384725
Danube,0.002048777369511104
Protestantism,0.002041421783164694
Penicillin,0.002041290140584898
Frederick the Great,0.002040830798739776
Chagas disease,0.002039625291466712
Liberty,0.002037325321073968
Bernard Pivot,0.002033017908972139
Reconstruction era,0.002025076363423178
Antibiotic,0.002018897046494163
Migration Period,0.002017977444522735
Quinine,0.002009506478777121
Slavery,0.00200940627766315
Courtney Thomas,0.002003082560775907
North Africa,0.00199784436709225
Lassa fever,0.001993318836078905
"Mary, mother of Jesus",0.001989359494943565
Nation state,0.001979175036540005
Sherman's March to the Sea,0.001979113705435747
HIV,0.001977863387369984
Ardèche,0.00197220818613382
Black Death,0.001968477373793244
Loyalist (American Revolution),0.001967217273305929
Robert Graves,0.001965174923631382
Historical revisionism,0.001964339014086034
The New York Times,0.00195520767090448
Lincoln Memorial,0.001953096247525901
Planned economy,0.001951589286428941
New York Daily News,0.001945870626219642
Eastern Europe,0.001945574941104692
Charles de Gaulle Airport,0.001933043265200517
Colmar,0.001932851103756156
Benito Mussolini,0.001928762681112723
"Darien, Connecticut",0.001922512678195355
Dreyfus affair,0.001921431624226418
Antisemitism,0.001919969878322073
Demigod,0.001912013417260462
Charles II of England,0.001904103832346285
Olive,0.001903940102511202
Village,0.001893591867247547
Totalitarianism,0.001882840303708768
Zeus,0.001882644634928264
Bordeaux,0.001864949407238893
Germany,0.001864088936460243
Rome,0.001843303403784373
Dream speech,0.001839910171971039
Louis XIV,0.00183578676732344
"Port Arthur, Tasmania",0.001834878762202313
William Shakespeare,0.001831761542515559
Outline (list),0.001822946173750986
Religious tolerance,0.001820852956828056
Slavery in the United States,0.001818864801104212
Armenia,0.001817165343422214
Walt Disney World,0.001813627972033641
Basque Country (autonomous community),0.001812293588883144
Feminism,0.001799145175883409
Brittany,0.001798589792956587
Novel,0.001797435621701435
Puritans,0.001796487222153835
Bible,0.001795764575836361
Rhine,0.00179453325521478
Bertolt Brecht,0.0017907089417972
Glorious Revolution,0.001790284734618299
Traboule,0.001768985242281347
Jews,0.001766839500432581
Mexico City,0.001766647772173386
Seven Years' War,0.001761014465429955
History of France,0.001756006056199346
Sport,0.001754493889655121
Savoie,0.001750294108489245
Thirteen Colonies,0.001746768296123811
Quakers,0.001746042076586967
Politics,0.00174600115909049
Pregnancy,0.001744607639152044
Population density,0.001744118158247665
Paganism,0.001736899676415327
Knight,0.0017363729185549
Japan,0.00173392385324287
Metaphor,0.001732251743941365
Charles de Gaulle,0.001728705253954553
Case fatality rate,0.001727599354148841
Laptop,0.001723205669410157
Sahara,0.001720457401943301
Internment,0.001719879574148618
Conscription,0.001719370778707935
Time (magazine),0.001718902920886267
Western Front (World War I),0.001715252580551986
Russo-Japanese War,0.001709073917713425
Humorism,0.001704013486691608
Tuskegee Syphilis Study,0.001700398337114406
Buddhism,0.001699610703909967
Chemin des Dames,0.001696425215351351
Baptists,0.001695319291966884
"Reading, Berkshire",0.001692985844749739
Buenos Aires,0.001689982166226307
Abolitionism in the United States,0.001689914856794845
Berlin Wall,0.001686760052045937
Alsace,0.001680314669424505
Charles I of England,0.001679055259759166
Maryland,0.00167690203717217
English-speaking world,0.001674705752706059
Constitutional Convention (United States),0.001673669027253412
Peter the Great,0.001670688484502502
Manchuria,0.001664287411593307
Surgeon General of the United States,0.001662026994991604
Alps,0.001658780691147185
Nantes,0.001657336733387566
Muckton,0.001657109030137995
Ancient Greece,0.001654555619056503
Asbestosis,0.001649408685098605
Bolsheviks,0.001648225454915232
Spaniel,0.001643270937039082
Nazism,0.001642322785440778
Freemasonry,0.001640705957311723
Europe,0.001640645517390336
Poetry,0.001634854202185396
Impressionism,0.001634415311336975
New York City,0.001631545944416895
United States Armed Forces,0.001630533244365339
Asthma,0.001628648614924057
Hungary,0.001627127297627235
Ragtime (musical),0.001624072932027274
Sixwire,0.001621850376894244
Keel,0.001621157875396327
Martin Luther,0.001620959088641245
"New Haven, Connecticut",0.001620599079127238
Spain,0.001612910813813101
Colonial history of the United States,0.001612610104381286
Childbirth,0.00161129422269845
BBC News,0.001609475688227202
Germinal (novel),0.00160881196356067
Human,0.001608148553168577
Flag of the United States,0.001607769146476377
French Revolution,0.001606460810667877
Epidemiology of HIV/AIDS,0.001600837926890379
George W. Bush,0.001597466705133546
Religion,0.001592244525604112
Silk,0.001590636965075136
Melbourne,0.001589064686881693
Auvergnat,0.001584153013024778
Patois,0.001579451196072799
Government,0.001578712622772614
Morality,0.001575472385940227
Urbanization,0.001575159605609567
History of the United States,0.001570667714649097
Stuart period,0.001558337408469373
Amnesia,0.001553935107842061
Greek language,0.001552580198383131
Social class,0.00155115757758822
Rhône,0.001549694125545476
Gendarmerie,0.001547511903877627
Egalitarianism,0.001543376830554285
Nerva,0.001539150725084322
Charles IX's grand tour of France,0.00153715639563509
Fellow,0.00153655254115607
Anzin,0.001536154697381843
Chris Miller (animator),0.001534758713348471
Family resemblance,0.001534582093206514
The Daily Telegraph,0.001532140168651412
"Hillsborough, California",0.001531924538793267
New Zealand,0.001531304275087403
Michael Johnson (sprinter),0.001523001717675972
Propaganda,0.001522758791734172
Kenya,0.001522616498421837
Rule of law,0.001521255807117841
Persian language,0.001515942408816722
Continental Europe,0.00151451458688551
Northern Catalonia,0.001505633526177156
Mexico,0.001504637160752616
Anarchism,0.001500488279522488
Philosophy,0.001495052693916686
World War II,0.001494617611110431
