title,pageRank
Monogamy,0.01316897212376012
Orangutan,0.01025587744915721
Acorn,0.009859836296309732
Mantis,0.008824360963740698
Hominidae,0.007489351373222887
Oak,0.006260368519102106
Species,0.006198041147897215
Egg,0.005653012312883558
Internal fertilization,0.005553650210925441
Ape,0.005361963452855773
Gamete,0.005336029452734536
Gorilla,0.004938249771123768
Ejaculation,0.004927439260196506
Nitrogen,0.004786615955283864
Beetle,0.004784233385906837
Zoo,0.004695219568115353
Caterpillar,0.004596747509027618
Borneo,0.004489125214424508
Bangladesh,0.004298553793937996
Primatology,0.004222589432334718
Primate,0.004053550281467041
Sexual dimorphism,0.004046732994208659
Vagina,0.003945165526536096
Dung beetle,0.003799134839859836
Testicle,0.003755068537331498
Sulfuric acid,0.003674317929809831
Gene,0.003641699472882451
Staten Island,0.003541943197130494
Not out,0.003292146458812804
Insect,0.003276021043169782
Egg as food,0.00320606386944388
Dian Fossey,0.00315956954897659
Flamingo,0.003147958098280367
Motility,0.003132171833310933
Chicken,0.003080672889905815
Bacteria,0.003064509383992706
DNA,0.002951258983061696
Indonesia,0.002923423271112109
Sperm competition,0.00284522893826243
Genetic distance,0.002821955035900988
Hydrochloric acid,0.002767832327860721
Spermatozoon,0.002713601965475492
Gestation,0.00270492418299856
Vulva,0.00265855641189033
Genghis Khan,0.002624609385276432
"Tuscaloosa, Alabama",0.002596941465862615
Spermatheca,0.002569386781117678
Chromosome,0.002561360213842194
Iran,0.002534963830192018
Dominance hierarchy,0.00252403481588016
Protoplasm,0.002517532085727587
Islamabad,0.002514370284036406
Latin,0.002511213593002402
Protein,0.002472871981449754
Estrous cycle,0.002468555764066857
Testosterone,0.002445811681509169
Ovulation,0.002425128437388006
Vertebrate,0.00241956376831086
Coral reef fish,0.002418417394517821
Semen,0.002398468709757831
Howler monkey,0.002347878094476099
Gene flow,0.002343624628132417
Saudi Arabia,0.002325447604632124
Y chromosome,0.002298660956491513
Lychee,0.002284094400723763
Monkey,0.002249057143691748
Reproductive success,0.00222996380211138
Political correctness,0.002224959725094066
Adolescence,0.002223674995982094
Feces,0.002197598741720659
Survival of the fittest,0.002180427119697497
Lactation,0.002137174569017541
Amenorrhea,0.002124832683249194
Organism,0.002112708932947975
Dog,0.002111793374753498
Natural selection,0.002110801459178836
Dominican Republic,0.002108163667648638
Extinction,0.002090570176998259
Pakistan,0.002079754888628902
Hormone,0.002074327008061696
Nervous system,0.002035693889839124
Harem,0.002019896407622714
Base pair,0.002009380929558383
Botanical garden,0.001978669265925419
Genotype,0.001975417444980494
Scorpion,0.0019422400215199
Human sexuality,0.001937784944605906
Lactational amenorrhea,0.001925754514671386
Clasper,0.001922425460965582
Coral,0.001878699616925942
Elephant seal,0.001853978293561105
Bonobo,0.001844650547743571
Mating,0.001842972381246375
National Geographic,0.001830739599213525
Predation,0.001830423504060609
Fertility,0.001826167628212601
Insemination,0.001825670563537944
Sexual maturity,0.00182002410748167
Copulation (zoology),0.001804155606636358
Seed,0.001796323206299213
Human,0.001776900574561492
X chromosome,0.001776055562938039
Nutrition,0.00177500785595218
Rainforest,0.001773168325677564
Wasp,0.001770774822097984
Tree,0.001767907917330843
Division of labour,0.001763649785333582
Duck,0.001762564627829819
Promiscuity,0.001761681569389758
Fitness (biology),0.001741143707119628
Jane Goodall,0.001740613134045883
Nutrient,0.001733810228046032
Sex,0.001724754029782898
Fertilisation,0.001724147084613823
Ecology,0.001720822307111945
Energy,0.001708437136307758
Coral reef,0.001707512505388895
The New York Times,0.001682067937491143
DNA sequencing,0.001645302949395672
Soil,0.001644617447370366
Evolution,0.001626053878095791
Temperature,0.001622103768064761
Human sexual activity,0.001614657294596006
Infanticide,0.001609637080693446
Fat,0.001594941822040864
Sanandaj,0.001569767919562373
Phylogenetic tree,0.001560181542042593
Lek mating,0.001535805965388036
Anatomy,0.001534678848167915
Scientific method,0.001531127691200677
Heredity,0.001518175756786594
Ocean,0.001517907944148026
Feather,0.00150764192591047
Livestock,0.001505304688678443
Behavior,0.001504301506134347
Offspring,0.001501688290921183
Society,0.001500423040262933
Taxonomy (biology),0.001488612150741813
Worm,0.001479154098249105
Fetus,0.001478708419354675
Brooklyn,0.001478027714272263
Deer,0.001474103182931742
Lubrication,0.001468150740882102
Cheese,0.001468062284044574
Breastfeeding,0.001464147024887978
Alabama,0.001460750750920228
Pinniped,0.0014605171375636
Developmental biology,0.001458699170494093
Seasonal breeder,0.001435887663362113
Mammal,0.001435658413480204
Biology,0.001428642408483935
Linnaean taxonomy,0.001422465049137696
Anatomical terms of location,0.001421319407354909
Bird,0.00141773856835058
Chimpanzee,0.001417420786203835
Feminism,0.0014153815114714
Ethology,0.001409050143420618
Comic book,0.001406109643108688
Taboo,0.00140317671947108
Bee,0.001402828831944107
Mongols,0.00139720499392781
Holocene,0.001390589929157019
Fish,0.001337673330251904
Urine,0.001325570990493123
Anthropology,0.001302393372666063
Rape,0.001283480897434543
Genetic testing,0.001280392430691481
Forestry,0.001262953309239016
Squirrel,0.001234904965763712
Culture,0.00123036945134099
Agriculture,0.001224966632120704
Reproduction,0.001211451175867423
New York (state),0.001208282503703087
Genetics,0.001199128031053071
Olympic-size swimming pool,0.001196941520282404
Gasoline,0.001186894034562008
Earth,0.001171973264863444
Literature,0.00116296404523607
Sociology,0.001161790207913227
Childbirth,0.001131359302493474
Baseball,0.001105249967779388
Death,0.001070868092999011
Pregnancy,0.001069918977847144
Medicine,0.001069393524604059
Robert Wyman,0.00104695137117107
Caribbean,0.001035869194364384
Hunting,0.0010191114565352
Bat,0.001014078305056592
Medina,0.001012689272041795
Life,0.001000066339105249
Statistics,0.0009991769309224726
Acid attack,0.0009949416615944652
Disease,0.0009899499469376172
Health,0.0009896818412906472
United States,0.0009857498916924115
Education,0.0009764245111028421
Folklore,0.0009705836683235313
Sexual reproduction,0.0009650049473437242
Baseball bat,0.0009649263462978621
African Americans,0.00095704110788598
Convenience store,0.0009565422376850358
Iceberg,0.0009533761891345166
Discrimination,0.0009529376164336489
Archaeology,0.0009507339113182851
Sexual intercourse,0.000950558606222786
Gender,0.0009473994027780209
Abortion,0.0009385518746097623
Military,0.0009184198311991453
Metal,0.0009076063931804082
Sperm,0.000906658952495977
Animal husbandry,0.0009033755846145611
Violence,0.000899444036241757
