title,pageRank
Douglas W. Rae,0.03847780694948136
Plato,0.01207316844824441
Political science,0.01051764452094328
League of Nations,0.008130623786743148
Aristotle,0.00761916137869778
Iran,0.006523973701478974
Socrates,0.006045005051307568
Capitalism,0.005770419959983486
Enron,0.005605431793543484
Abraham Lincoln,0.005486140947269435
Henry Clay,0.004804771719619441
John Maynard Keynes,0.004762941545008077
Theocracy,0.004544772922744999
Adam Smith,0.004406414144452494
Crop circle,0.004345639173365025
Jean-Jacques Rousseau,0.004033467711236396
Eros (concept),0.003764046219082454
Boston Red Sox,0.003625453751145026
New York Yankees,0.00344883359973116
Alexander the Great,0.003352686802367893
English Civil War,0.003340001543091526
Friedrich Nietzsche,0.003274756984279565
John Rawls,0.003115110173018699
Richard Posner,0.002971393900503816
Social science,0.002955958441212289
Metropolitan Museum of Art,0.002885007917725903
National Assembly (France),0.002868516860735206
Ivy League,0.002845415426487929
Goldman Sachs,0.002739646048505117
University of Chicago Law School,0.00273285660072178
Separation of powers,0.00265643125071359
Alexander Hamilton,0.002635606973038664
Corsica,0.002621125723822867
Patriotism,0.002615442433016069
Niccolò Machiavelli,0.002588497273286925
Social class,0.002527367519563944
Georg Wilhelm Friedrich Hegel,0.002523839476188598
Virtue,0.002515354049863604
Democracy,0.002512608130966217
Thomas Hobbes,0.002505215383281972
Cold calling,0.002504413678543144
Eros,0.002488269192330062
Government,0.002464989592046117
Friedrich Hayek,0.002462016254386357
Thomism,0.002447108414012125
Case method,0.00241836617296065
September 11 attacks,0.002416746105608849
Paradox,0.002406191711848342
India,0.0023903097008801
World Bank,0.00236757620396494
Conservatism in the United States,0.002360268133984081
Comparative politics,0.002324546704916545
Metaphysics,0.002311796183297996
Sicily,0.002299915325092488
Scientific socialism,0.002255490852867803
Marxism,0.002246172048542091
Thank You for Smoking (novel),0.002152857064394496
Psychology,0.002107081066631361
Classic book,0.002053197546303411
Libertarianism,0.002028739152562068
Immanuel Kant,0.001946689492032753
The White Tiger (2021 film),0.001871240843734825
University of Chicago,0.001864101871876384
International law,0.001858065379865981
Geneva,0.00178283696405282
International relations,0.001780876934166242
Political philosophy,0.001751965497851677
Ancient Greece,0.001750026407079606
Sigmund Freud,0.00173995316261958
Democracy in America,0.001721474548453229
Karl Marx,0.001713194510100784
Greek language,0.001690915285469269
Alexis de Tocqueville,0.001678119125729074
Terrorism,0.001673692170391826
Profit motive,0.001644657030265395
Communism,0.001643316816245335
Mathematics,0.001631264825753676
John Locke,0.001627953512538482
Poland,0.001625066994520364
Microfinance,0.001598040119071611
Republic,0.001582604252097565
Politician,0.001572356661888614
Republic (Plato),0.001552171218425944
God,0.001543653834043328
Slavery,0.00152166004309594
Minimum wage,0.001511489742981552
Liberty,0.001497355341752359
Mathematician,0.001480401479740649
Mind,0.00146476358866859
Florence,0.001461358179505825
Coping (architecture),0.00145540900548577
Business intelligence,0.001431283418211547
Europe,0.00138358009646309
Constitution,0.001382934616761491
English language,0.001377942563809392
Paul Collier,0.001375527845680808
Religion,0.001350893545893924
Federalist Party,0.001341064160455716
Investment banking,0.001329515236293637
Philosophy,0.001324508580549092
Morality,0.001314907111143854
Sovereignty,0.001313117044664972
State (polity),0.001311917403657705
Economist,0.001303828378345729
Developed country,0.001276571909372135
Public administration,0.001273734752342365
Developing country,0.001272187150054622
French language,0.001258795331851172
CBS News,0.001249202189036283
The Bottom Billion,0.001237384422901542
Aristocracy,0.00123020853567824
Culture,0.00122515277237253
South India,0.001223807416341075
Eastern Europe,0.001206547601427413
Business,0.001199876408477591
Technology,0.001195056398911967
Speed reading,0.001192571935219703
Regime,0.001174376645398516
Economics,0.001172892026541108
American Civil War,0.001171616327819654
Globalization,0.001171224820737092
Classical antiquity,0.00117048703707578
White Tiger (mythology),0.001170041758911725
Science,0.001152489875868778
