title,pageRank
Russia,0.02534786591665212
Siberia,0.01798938422046446
Alicante,0.01702117485598093
Moscow,0.01667639669467542
Portugal,0.009969448228727805
Hidalgo (nobility),0.00623676934146848
Spain,0.005988279595953892
Don Quixote,0.005702400802916674
Man of La Mancha,0.004678913218849569
Spanish language,0.004553734474678159
Picaresque novel,0.004069721834200461
Age of Enlightenment,0.004053430354055676
Adventures of Huckleberry Finn,0.004042808149483583
François Rabelais,0.003767015613898895
Sigmund Freud,0.003550471123334544
Jorge Luis Borges,0.003425596385782886
Miguel de Unamuno,0.003420855881704053
Perspectivism,0.003321571049241652
Daniel Defoe,0.003228229777427807
Bible,0.003208480146517276
The Pickwick Papers,0.003171748857533203
Jawbone (instrument),0.003162263612955238
Aristotle,0.003161062974246293
Gabriel García Márquez,0.003136224677535895
Novel,0.002941196108888465
Miguel de Cervantes,0.002927240863625234
King Lear,0.002926634297325622
Franz Kafka,0.0028801279508142
Latin America,0.002873251905313547
Harold Bloom,0.002805448987461956
Aeneid,0.002767717226194148
Scholasticism,0.002714423311137016
Alonso Quijano,0.002709630902421033
Lazarillo de Tormes,0.002700517948183339
Roberto González Echevarría,0.002609082860899775
Madame Bovary,0.002515495449820047
Plato,0.002431928753893935
Petrarch,0.002427045892998741
English language,0.002386951255405485
Arabs,0.002379426866348704
Tirso de Molina,0.002308672066758104
Chivalric romance,0.002308292629389962
Madrid,0.002307807548215027
Larry Nelson,0.002293441098621893
Divine Comedy,0.002287797167564331
Jean Valjean,0.002285797172299737
American English,0.00220415719190074
Robinson Crusoe,0.002181905768117553
John of the Cross,0.00218187399752652
Juan Huarte de San Juan,0.002165715923175113
Neo-Kantianism,0.002161638559433588
Neoplatonism,0.002146310355648389
Alejo Carpentier,0.002099313912015976
Nobility,0.002068409609228146
Sebastián de Covarrubias,0.002040504063125898
Edith Grossman,0.002000051329797033
Tesoro de la lengua castellana o española,0.001977109540233964
William Shakespeare,0.001976076641195538
Arabic,0.001975407575631604
Middle Ages,0.00196855337356561
Johann Wolfgang von Goethe,0.001957871197761457
Early Modern English,0.001951747166726427
France,0.001950578754140323
Crown of Castile,0.001932864229012891
Mexico City,0.001926172959223757
Muslims,0.001903109806160137
Huckleberry Finn,0.001884522659125626
Psychology,0.001856359885851055
Lope de Vega,0.001852025006873976
Hamlet,0.001837158541376461
Dante Alighieri,0.001829848016529217
Nobel Prize,0.001817126733475099
Reformation,0.001810824370147835
Museo del Prado,0.001807079745058084
Individualism,0.001796893960349576
Classics,0.001774243271178693
Comic book,0.001771689121091105
Philippines,0.001770614909180274
Amadís de Gaula,0.001757358423132973
Catholic Church,0.001756445784861124
French language,0.001742080855599684
Philosophy,0.001723659535392022
La Celestina,0.001706452627249461
Penguin Classics,0.001696653775308148
Lanzarote,0.001696165657461342
Morisco,0.001694975220063413
The Age,0.001693310874458701
Literature,0.001684878236585699
England,0.00166599798858041
New World,0.00165608942729289
Literary criticism,0.001643724143619265
Knight,0.00164368143408862
La Mancha,0.001643576041152788
Ancient Greece,0.001629814534266984
Renaissance,0.001629155884807217
Charles Dickens,0.001611805877888243
Latin,0.001601272524052391
Christianity,0.001595135370810685
Spanish literature,0.001573461194747584
Galicia (Spain),0.001564009131572785
Western world,0.001560818613466072
Gospel music,0.001555730389614524
Odyssey,0.001551880923599342
Greek language,0.001550542373700306
Basque language,0.001537848352823928
Greek tragedy,0.001536926545753048
Mexico,0.001513425051217712
Christians,0.001489720684967402
TV Guide,0.001481781055453551
Roberto González (racing driver),0.001480052483808547
Language,0.001460301394063349
Italy,0.001459985566662191
Idealism,0.001451435660171335
Argentina,0.001438641808573934
Moors,0.001435947987125813
Bureaucracy,0.001407417913855892
Western canon,0.001403544871084111
Catalan language,0.001402563603241356
Afterlife,0.001400951210321459
Protagonist,0.001398143674470021
Thomas Aquinas,0.001398073842022325
Europe,0.001388828660527334
German language,0.001384176059166105
Geography,0.001377145826831971
Suffix,0.001376416496194505
Jews,0.001375507494909573
Metaphysics,0.001372381020883498
Etymology,0.001370552197617818
God,0.001365345776541065
Knight-errant,0.001365179147709223
DNA,0.001364714048810325
Penguin Books,0.001359145460859121
Universe,0.001354686587479576
Folklore,0.001347505742523529
Iberian Peninsula,0.001346931742179651
Epic poetry,0.001342862894007822
Fantasy,0.001342347496469071
The Impossible Dream (The Quest),0.00133078981899881
Ian Watt,0.001329644843683126
Political fiction,0.001323866077381114
Peninsular Spanish,0.001322175355175366
Novella,0.001321008770987492
Classical antiquity,0.001315622075556438
Judaism,0.001315125981288565
The Bronx,0.001313966448225887
Middle East,0.001307243307037582
Hunting,0.00130717476976085
Physician,0.00130431366642052
Realism (arts),0.001301772099799856
Low Countries,0.001299629637150319
Science,0.00129779877605314
Lexicography,0.00129733235083069
Reconquista,0.001291037718909686
Spanish Empire,0.001284242412375083
Politics,0.001283249106354585
Americas,0.001281598823031934
Social class,0.001279830871886591
Evolution,0.001266418814652085
Aristocracy,0.001264545614877509
Aragon,0.00126407064075251
Irreligion,0.001261490602264148
Perception,0.00126057566469622
Catholic Monarchs of Spain,0.001257969907615488
Don (honorific),0.001251440616905553
Popular culture,0.00124950391021357
Brooklyn,0.001240385621670229
Modernism,0.001235814289839493
Granada,0.001235425733390541
Translation,0.001225675258876946
Culture,0.001225412481090781
Old English,0.00122285733334529
History,0.001222767811715957
Oxford,0.001216590863388766
Myth,0.001209375543709424
Rationalism,0.001206410541067084
Oedipus,0.001204688319306154
Ciudad Real,0.001201951795629467
Chivalry,0.00120101002989811
Spirituality,0.001199092489430977
Oxford English Dictionary,0.001198036903824719
Writing,0.001194188194186258
The Western Canon,0.001192310441764062
Human,0.001190067666757687
British Empire,0.001185472319585636
Sovereign state,0.001185173889339989
Modern philosophy,0.001177190881640558
Secularism,0.001176246170883707
Truth,0.001174805019184015
Time,0.001173449689254633
Mind,0.001172745601612157
Wales,0.001172080542100925
World War II,0.001171996942714785
Liberalism,0.001169545135237546
Short story,0.001166468762241725
Life expectancy,0.001165527151499832
Education,0.001156285995387184
Middle class,0.001148871920961128
World War I,0.001145664579179241
Feudalism,0.001136844994201697
Tradition,0.001136086583660685
Death,0.001133230686518968
Windmill,0.00113273491166415
Philology,0.001132615255329818
United Nations,0.001132079365670636
Pastoral,0.001128655121301768
Modernity,0.001127643615044114
Soul,0.0011260352998215
Literacy,0.001125702056821823
Catalonia,0.001124421234451236
French people,0.001121927586930038
World literature,0.001114822946405922
Archaeology,0.001110632555876877
Fiction,0.001108215099916424
United States,0.001107589962419396
Poetry,0.001105933461993733
English people,0.001103595621179575
Social mobility,0.001102816616592632
Knowledge,0.001102268193647667
Eastern Orthodox Church,0.00109730205126665
Battlement,0.001093247434967043
Free will,0.001089526889778448
Byzantine Empire,0.001084060583315923
Professor,0.001081193871687047
Mysticism,0.001074568790318815
